,angle,VV_db,VV_db2,VV_var_db,VV_var_db2,GPM,P6d
2020-10-13,35.1288948059082,-10.79867144292833,-13.2683673574008,-28.04108620656848,-33.56494582916847,44.71001423679991,20.032
2020-10-19,35.13878631591797,-13.2683673574008,-12.26569253743223,-33.56494582916847,-29.83940312995561,0.39736858010292053,7.756000000000002
2020-10-19,35.13878631591797,-13.2683673574008,-12.26569253743223,-33.56494582916847,-29.83940312995561,0.39736858010292053,7.756000000000002
2020-10-25,35.1279296875,-12.26569253743223,-14.891371129332,-29.83940312995561,-36.40016464322595,0.0,0.187
2020-10-25,35.1279296875,-12.26569253743223,-14.891371129332,-29.83940312995561,-36.40016464322595,0.0,0.187
2020-10-31,35.13782119750977,-14.891371129332,-14.75659406809328,-36.40016464322595,-29.62212160788392,0.0,0.017
2020-10-31,35.13782119750977,-14.891371129332,-14.75659406809328,-36.40016464322595,-29.62212160788392,0.0,0.017
2020-11-06,35.12760543823242,-14.75659406809328,-15.7056833152334,-29.62212160788392,-29.25963085804247,0.1419719234108925,0.034
2020-11-06,35.12760543823242,-14.75659406809328,-15.7056833152334,-29.62212160788392,-29.25963085804247,0.1419719234108925,0.034
2020-11-12,35.13681793212891,-15.7056833152334,-16.30049784176805,-29.25963085804247,-40.15674910506068,0.0,0.0
2020-11-12,35.13681793212891,-15.7056833152334,-16.30049784176805,-29.25963085804247,-40.15674910506068,0.0,0.0
2020-11-18,35.1276969909668,-16.30049784176805,-18.63566493161172,-40.15674910506068,-43.42959960624743,0.0,0.0
2020-11-18,35.1276969909668,-16.30049784176805,-18.63566493161172,-40.15674910506068,-43.42959960624743,0.0,0.0
2020-11-24,35.13778686523438,-18.63566493161172,-15.48112896694698,-43.42959960624743,-40.28064052730627,0.0,0.0
2020-11-24,35.13778686523438,-18.63566493161172,-15.48112896694698,-43.42959960624743,-40.28064052730627,0.0,0.0
2020-11-30,35.12716293334961,-15.48112896694698,-16.79976312584607,-40.28064052730627,-38.72657669805208,0.0362282320857048,0.0
2020-11-30,35.12716293334961,-15.48112896694698,-16.79976312584607,-40.28064052730627,-38.72657669805208,0.0362282320857048,0.0
2020-12-06,35.13735198974609,-16.79976312584607,-17.53292809904661,-38.72657669805208,-37.56816529539021,0.9892311419826001,3.535
2020-12-06,35.13735198974609,-16.79976312584607,-17.53292809904661,-38.72657669805208,-37.56816529539021,0.9892311419826001,3.535
2020-12-12,35.12698745727539,-17.53292809904661,-19.71173745126456,-37.56816529539021,-35.98489079267653,4.577625465579331,0.476
